cost_id,facility_id,expense_type,vendor,cost_amount,expense_date,fiscal_year
COST-000320,FAC-0060,Electrical,Garrison-Baker,18583.29,2025-02-15,2023
COST-000321,FAC-0072,IT Services,"Bonilla, Johnson and Walls",46238.12,2025-03-25,2025
COST-000322,FAC-0027,HVAC,Webb PLC,41173.32,2025-03-01,2024
COST-000323,FAC-0012,Plumbing,Soto-Carlson,37251.22,2025-02-08,2025
COST-000324,FAC-0097,Electrical,Mendoza LLC,37751.75,2025-08-15,2024
COST-000325,FAC-0096,Electrical,Robertson-Henderson,38463.23,2025-01-17,2025
COST-000326,FAC-0041,HVAC,Horton Ltd,6414.17,2025-05-29,2024
COST-000327,FAC-0003,Electrical,Robinson-Garcia,6180.84,2025-04-11,2023
COST-000328,FAC-0075,Electrical,"Lewis, Young and Horton",620.72,2025-03-08,2025
COST-000329,FAC-0017,IT Services,"Martin, Lambert and Solis",15437.95,2025-01-01,2025
COST-000330,FAC-0041,Plumbing,Smith and Sons,6151.0,2025-04-25,2025
COST-000331,FAC-0055,Electrical,"Hughes, Garcia and Davis",28740.99,2025-03-13,2025
COST-000332,FAC-0068,Plumbing,"Payne, Camacho and Hamilton",41334.95,2025-06-08,2023
COST-000333,FAC-0065,Electrical,"Velasquez, Lee and Mccormick",2231.55,2025-08-06,2024
COST-000334,FAC-0008,HVAC,Murray Group,15036.91,2025-01-04,2025
COST-000335,FAC-0060,HVAC,Bridges-Lewis,20083.0,2025-01-02,2024
COST-000336,FAC-0090,IT Services,Rodriguez-Morgan,10361.51,2025-06-25,2024
COST-000337,FAC-0018,IT Services,Hines Inc,4035.41,2025-04-13,2025
COST-000338,FAC-0045,IT Services,Cisneros-Simon,28460.66,2025-11-25,2023
COST-000339,FAC-0046,HVAC,Greer and Sons,39944.11,2025-05-23,2023
COST-000340,FAC-0091,Electrical,Padilla-Lawrence,31368.9,2025-03-06,2025
COST-000341,FAC-0042,IT Services,Meyer LLC,4608.34,2025-08-08,2025
COST-000342,FAC-0038,IT Services,"Romero, Figueroa and Coleman",33316.39,2025-11-03,2023
COST-000343,FAC-0084,Plumbing,Holmes-Gutierrez,43052.63,2025-02-25,2024
COST-000344,FAC-0031,IT Services,Baker-Hartman,28448.18,2025-10-31,2024
COST-000345,FAC-0045,Electrical,James-Davenport,5152.97,2025-01-30,2024
COST-000346,FAC-0032,IT Services,Perez Group,47830.29,2025-10-11,2025
COST-000347,FAC-0006,HVAC,Phillips-Hardy,41932.13,2025-03-13,2023
COST-000348,FAC-0061,IT Services,Snyder Inc,9167.37,2025-07-19,2023
COST-000349,FAC-0021,IT Services,"Hart, Snow and Campbell",49838.75,2025-07-05,2025
COST-000350,FAC-0049,IT Services,"Erickson, Lee and Morris",333.83,2025-11-03,2023
COST-000351,FAC-0038,HVAC,Brown-Washington,26109.88,2024-12-23,2024
COST-000352,FAC-0033,Plumbing,Williams-May,3527.53,2025-11-08,2025
COST-000353,FAC-0088,IT Services,Mccoy-Gamble,3919.52,2025-10-23,2023
COST-000354,FAC-0080,IT Services,Herrera Inc,47949.09,2025-05-27,2024
COST-000355,FAC-0082,HVAC,Hodges-Hubbard,16804.63,2025-01-28,2025
COST-000356,FAC-0039,IT Services,Phillips-Lewis,41428.95,2025-11-11,2023
COST-000357,FAC-0048,Electrical,Craig-Hoffman,1969.92,2025-09-27,2025
COST-000358,FAC-0072,Electrical,Orr Ltd,6854.91,2025-02-14,2023
COST-000359,FAC-0002,Plumbing,Berger-Evans,7221.23,2024-12-20,2024
COST-000360,FAC-0027,IT Services,"Green, Vega and Simmons",6802.61,2025-05-22,2025
COST-000361,FAC-0014,Plumbing,Weber Ltd,31724.62,2025-07-07,2025
COST-000362,FAC-0035,IT Services,Baker-Keith,5891.36,2025-10-18,2025
COST-000363,FAC-0030,Plumbing,Villarreal Group,39732.92,2025-06-18,2023
COST-000364,FAC-0074,IT Services,"Cain, Scott and Castillo",28799.12,2025-09-15,2023
COST-000365,FAC-0054,IT Services,Maldonado-Smith,20166.38,2025-03-23,2025
COST-000366,FAC-0097,Electrical,"Hogan, Santos and Pierce",28526.42,2025-01-16,2023
COST-000367,FAC-0065,Plumbing,"Trevino, Faulkner and Rodriguez",46930.38,2025-10-06,2025
COST-000368,FAC-0059,Plumbing,Kirk-Smith,43571.32,2025-10-31,2024
COST-000369,FAC-0015,HVAC,"Hartman, Anderson and Wilson",41574.79,2025-01-26,2024
COST-000370,FAC-0069,IT Services,Nguyen Ltd,6875.66,2025-09-08,2024
COST-000371,FAC-0016,IT Services,Gutierrez Group,13367.51,2025-10-03,2023
COST-000372,FAC-0003,IT Services,"Maldonado, Rivera and Hall",40321.6,2025-05-03,2025
COST-000373,FAC-0016,Electrical,"Brown, Long and Robinson",37902.19,2025-12-02,2024
COST-000374,FAC-0100,Electrical,"Anderson, Scott and Richardson",10234.44,2025-01-24,2023
COST-000375,FAC-0076,Electrical,Owens and Sons,25412.13,2025-02-18,2023
COST-000376,FAC-0071,IT Services,Dennis-Anderson,22215.05,2024-12-24,2025
COST-000377,FAC-0046,HVAC,"Taylor, Roberts and Collins",36641.67,2025-06-08,2023
COST-000378,FAC-0052,Plumbing,"Owens, Hernandez and Wright",38072.95,2025-08-11,2024
COST-000379,FAC-0002,Plumbing,Barker-Gonzalez,4805.23,2025-08-02,2025
COST-000380,FAC-0002,Electrical,"Chambers, Carr and Gray",31172.16,2025-05-09,2023
COST-000381,FAC-0045,HVAC,Hernandez-Leon,25681.29,2025-07-10,2025
COST-000382,FAC-0054,Electrical,Schmitt-Lane,9395.86,2025-05-19,2023
COST-000383,FAC-0051,HVAC,"Lee, Young and Morales",17499.17,2025-04-16,2023
COST-000384,FAC-0006,Plumbing,White LLC,3484.22,2025-11-10,2023
COST-000385,FAC-0030,Electrical,Boyd-Phillips,30599.53,2025-11-27,2025
COST-000386,FAC-0084,Plumbing,"Harris, Wilson and Moore",22565.49,2025-11-03,2023
COST-000387,FAC-0001,Plumbing,Harris-Huerta,37922.3,2025-04-08,2023
COST-000388,FAC-0003,Electrical,Young Group,35393.08,2024-12-24,2024
COST-000389,FAC-0089,Plumbing,"Weaver, Pierce and Gordon",5075.27,2025-02-02,2023
COST-000390,FAC-0021,Plumbing,"Matthews, Hernandez and Melton",18624.45,2025-09-12,2023
COST-000391,FAC-0071,Electrical,"Jacobs, Smith and Osborne",3068.91,2025-07-03,2024
COST-000392,FAC-0092,Plumbing,"Johnson, Cook and Palmer",5029.66,2025-01-23,2025
COST-000393,FAC-0019,HVAC,Erickson-Jenkins,37557.58,2025-10-17,2025
COST-000394,FAC-0060,Electrical,Miller Ltd,29410.35,2025-06-30,2025
COST-000395,FAC-0072,IT Services,Mathews-Wood,7636.07,2025-02-28,2024
COST-000396,FAC-0033,IT Services,"Stone, Barrera and Cox",10313.84,2025-11-21,2023
COST-000397,FAC-0048,Electrical,Murphy-Wilkerson,49593.6,2025-04-15,2024
COST-000398,FAC-0019,HVAC,Carroll Group,14551.67,2025-06-25,2024
COST-000399,FAC-0089,HVAC,Galloway PLC,8702.33,2025-09-13,2023
COST-000400,FAC-0014,Electrical,Daniels Ltd,1868.76,2024-12-24,2024
COST-000401,FAC-0049,IT Services,Chambers-Bradley,5050.92,2025-02-21,2024
COST-000402,FAC-0028,Electrical,Sparks-Thomas,23797.07,2025-07-13,2023
COST-000403,FAC-0070,IT Services,Ward LLC,22487.68,2025-05-24,2025
COST-000404,FAC-0022,Electrical,Boyd-Haley,46719.08,2025-10-27,2023
COST-000405,FAC-0100,Electrical,Ellis LLC,1686.7,2025-11-04,2024
COST-000406,FAC-0100,HVAC,Hernandez PLC,19607.09,2025-12-11,2024
COST-000407,FAC-0093,HVAC,Mcdowell-Chapman,3596.91,2025-01-10,2024
COST-000408,FAC-0026,IT Services,"Clark, Serrano and Brown",47925.97,2025-10-05,2025
COST-000409,FAC-0004,Electrical,"Espinoza, Fuentes and Burns",17014.31,2025-09-02,2024
COST-000410,FAC-0078,Plumbing,Khan-Jordan,1598.25,2025-02-06,2023
COST-000411,FAC-0064,HVAC,Snyder-Benson,6914.42,2025-08-20,2025
COST-000412,FAC-0002,Electrical,Miller-Craig,39946.65,2025-01-25,2023
COST-000413,FAC-0079,IT Services,Rodgers and Sons,4564.81,2025-10-26,2023
COST-000414,FAC-0084,IT Services,"Henson, Green and Young",8666.09,2025-11-08,2023
COST-000415,FAC-0014,HVAC,Salas-Green,27072.74,2025-05-13,2024
COST-000416,FAC-0073,Electrical,Holloway PLC,37187.9,2025-11-18,2024
COST-000417,FAC-0010,IT Services,Berg LLC,24831.15,2025-01-27,2023
COST-000418,FAC-0016,Electrical,"Hammond, Hill and Harper",40232.82,2025-05-07,2024
COST-000419,FAC-0041,Plumbing,Mccarty-Villa,37199.73,2025-01-14,2023
COST-000420,FAC-0064,Electrical,Fox and Sons,28517.02,2025-09-21,2025
COST-000421,FAC-0009,IT Services,"Mercer, Clark and Jarvis",41728.31,2025-06-05,2024
COST-000422,FAC-0033,Plumbing,Williams-Webb,12319.43,2024-12-23,2023
COST-000423,FAC-0019,HVAC,Daniels-Wright,38002.86,2025-10-26,2024
COST-000424,FAC-0017,HVAC,Smith PLC,18091.24,2025-06-12,2023
COST-000425,FAC-0083,IT Services,"Moore, Lawrence and Alvarez",868.3,2025-11-16,2024
COST-000426,FAC-0024,HVAC,Edwards LLC,45577.34,2025-04-27,2024
COST-000427,FAC-0097,Electrical,Jackson PLC,7181.61,2025-12-02,2025
COST-000428,FAC-0086,Electrical,Bryant and Sons,29208.72,2025-06-29,2024
COST-000429,FAC-0095,IT Services,Higgins-Pena,39912.03,2025-04-08,2024
COST-000430,FAC-0024,IT Services,"Smith, Hoffman and Harrell",30889.5,2025-05-14,2023
COST-000431,FAC-0087,HVAC,Sharp Group,21091.25,2024-12-27,2025
COST-000432,FAC-0046,Plumbing,Cameron LLC,4809.23,2025-07-21,2023
COST-000433,FAC-0061,IT Services,Hancock-Brown,4037.25,2025-02-26,2024
COST-000434,FAC-0078,Plumbing,Roberts-Reeves,36037.98,2025-06-27,2023
COST-000435,FAC-0087,HVAC,Willis Group,13590.38,2025-10-24,2024
COST-000436,FAC-0089,Plumbing,Harvey and Sons,29258.87,2025-04-05,2024
COST-000437,FAC-0015,IT Services,Hill Ltd,1949.06,2025-03-28,2023
COST-000438,FAC-0014,Electrical,Shepard PLC,16051.49,2025-07-06,2025
COST-000439,FAC-0075,Electrical,Miller-Mcdaniel,8619.4,2025-05-15,2024
COST-000440,FAC-0070,IT Services,"Young, Vega and Foley",49669.05,2025-01-18,2025
COST-000441,FAC-0037,IT Services,"Keller, Park and Willis",12839.43,2025-09-30,2025
COST-000442,FAC-0055,IT Services,"Davis, Walker and Roth",6432.4,2025-02-27,2024
COST-000443,FAC-0049,Electrical,Webb-Martinez,45401.94,2025-02-23,2025
COST-000444,FAC-0068,Plumbing,"Wright, Mason and Tran",15666.88,2025-06-02,2024
COST-000445,FAC-0004,HVAC,Hardy-Douglas,21972.27,2025-01-24,2025
COST-000446,FAC-0072,Electrical,Richardson-Anderson,48838.36,2025-02-17,2023
COST-000447,FAC-0074,Electrical,Morris-Porter,24585.72,2025-12-01,2025
COST-000448,FAC-0073,HVAC,"Schultz, Andrews and Scott",4379.13,2025-03-23,2024
COST-000449,FAC-0006,Electrical,King-Valencia,20242.83,2025-08-30,2025
COST-000450,FAC-0093,HVAC,Adams PLC,19712.6,2025-01-16,2025
COST-000451,FAC-0081,HVAC,Nguyen Ltd,41696.93,2025-04-27,2024
COST-000452,FAC-0030,Plumbing,"Weaver, Love and Arroyo",27062.59,2025-11-29,2025
COST-000453,FAC-0056,Plumbing,Caldwell Group,22507.46,2025-03-31,2023
COST-000454,FAC-0065,HVAC,Moore-Copeland,5951.69,2025-10-22,2025
COST-000455,FAC-0068,IT Services,Brennan-Molina,15996.2,2025-07-05,2024
COST-000456,FAC-0024,HVAC,Steele-Haney,35749.35,2025-08-19,2023
COST-000457,FAC-0022,Electrical,Reese-Small,49893.77,2025-03-19,2023
COST-000458,FAC-0096,IT Services,Gutierrez-Long,34347.33,2025-01-13,2025
COST-000459,FAC-0019,Electrical,"Hunter, Johnson and Campos",18028.05,2025-12-12,2024
COST-000460,FAC-0001,HVAC,Williams PLC,38091.99,2025-07-23,2023
COST-000461,FAC-0008,Electrical,Campos-Williams,1006.87,2025-07-15,2025
COST-000462,FAC-0049,HVAC,Rogers and Sons,39684.64,2025-04-09,2025
COST-000463,FAC-0092,IT Services,"French, Yoder and Norris",22726.51,2025-12-12,2025
COST-000464,FAC-0015,Electrical,"Carrillo, Schultz and Murphy",267.6,2025-06-25,2025
COST-000465,FAC-0074,Electrical,Howard-Maldonado,6153.77,2025-07-16,2023
COST-000466,FAC-0052,Electrical,Garrison-Gomez,1254.82,2025-09-07,2023
COST-000467,FAC-0050,HVAC,"Decker, Wilson and Parks",41037.96,2025-03-12,2023
COST-000468,FAC-0088,IT Services,Lopez Ltd,10156.92,2025-04-01,2024
COST-000469,FAC-0095,IT Services,Wilson PLC,37026.63,2025-05-20,2025
COST-000470,FAC-0006,IT Services,Lewis Ltd,544.43,2025-02-02,2025
COST-000471,FAC-0044,Plumbing,Schneider LLC,27212.0,2025-10-29,2023
COST-000472,FAC-0071,IT Services,"Willis, Gibson and Stanley",24053.44,2025-11-05,2024
COST-000473,FAC-0050,HVAC,Burton Inc,2127.46,2025-01-13,2023
COST-000474,FAC-0077,Plumbing,"Harris, Matthews and Graham",34246.42,2025-10-03,2023
COST-000475,FAC-0056,Electrical,Horton-Dean,44526.9,2025-08-18,2025
COST-000476,FAC-0032,IT Services,Crane PLC,4215.85,2025-05-29,2023
COST-000477,FAC-0067,Electrical,Alvarado Group,15985.2,2025-07-08,2025
COST-000478,FAC-0078,Plumbing,"Hanson, Sharp and Cline",34745.71,2025-01-31,2024
COST-000479,FAC-0065,HVAC,"Fry, Lara and Jones",37985.56,2025-06-27,2024
COST-000480,FAC-0020,Electrical,Snyder-Cook,9536.72,2025-12-11,2024
COST-000481,FAC-0086,Electrical,Maldonado-Lee,3513.84,2024-12-17,2023
COST-000482,FAC-0042,HVAC,Russell-Luna,13958.93,2025-12-10,2024
COST-000483,FAC-0004,IT Services,Cooper Group,16150.42,2025-04-22,2025
COST-000484,FAC-0078,Plumbing,Quinn-Lee,14240.84,2025-07-22,2025
COST-000485,FAC-0035,IT Services,Duke PLC,21653.93,2025-08-30,2023
COST-000486,FAC-0092,Electrical,Pierce PLC,4864.98,2025-04-07,2025
COST-000487,FAC-0018,Plumbing,"Russell, Valdez and Hernandez",44073.61,2025-07-22,2025
COST-000488,FAC-0003,HVAC,Thompson LLC,35346.36,2025-06-20,2025
COST-000489,FAC-0012,HVAC,Lopez Group,46040.46,2025-07-10,2025
COST-000490,FAC-0029,IT Services,"Anderson, Williams and Bell",29863.53,2025-04-07,2024
COST-000491,FAC-0001,HVAC,"Stokes, Scott and Mclaughlin",48052.52,2025-11-13,2024
COST-000492,FAC-0019,Electrical,Johnson and Sons,26590.83,2025-03-06,2025
COST-000493,FAC-0009,IT Services,Williams Group,13177.79,2025-06-09,2024
COST-000494,FAC-0018,IT Services,Kidd-Griffin,11447.34,2025-03-06,2024
COST-000495,FAC-0082,HVAC,Bond LLC,20638.13,2025-09-16,2023
COST-000496,FAC-0029,Plumbing,Luna Group,49787.71,2025-10-28,2023
COST-000497,FAC-0002,Plumbing,Anderson LLC,4450.78,2025-07-29,2025
COST-000498,FAC-0013,HVAC,Simmons-Alvarez,27627.86,2025-07-02,2024
COST-000499,FAC-0014,Electrical,"Riley, Reed and Carter",34362.27,2025-08-13,2023
COST-000500,FAC-0081,HVAC,Long Group,39336.46,2025-07-31,2024
COST-000501,FAC-0045,Electrical,"Burns, Miller and Riley",14414.55,2025-06-21,2024
COST-000502,FAC-0015,Electrical,Romero-Rogers,3135.53,2025-02-25,2025
COST-000503,FAC-0023,HVAC,Cooper LLC,2863.53,2025-10-16,2024
COST-000504,FAC-0053,Electrical,Baker-Hunter,2783.73,2025-07-22,2023
COST-000505,FAC-0072,HVAC,Thompson LLC,26166.34,2025-06-09,2024
COST-000506,FAC-0012,Electrical,Mcbride Ltd,4577.58,2025-05-24,2025
COST-000507,FAC-0023,HVAC,Figueroa-Oliver,49182.1,2025-11-29,2023
COST-000508,FAC-0073,IT Services,"Gonzalez, Lang and Waller",3525.32,2025-09-25,2023
COST-000509,FAC-0017,Electrical,"Arnold, Jackson and May",32777.71,2025-01-19,2024
COST-000510,FAC-0069,Plumbing,Palmer-Burke,675.26,2025-05-22,2025
COST-000511,FAC-0055,IT Services,Boyd-Lee,37596.36,2025-05-21,2023
COST-000512,FAC-0099,Plumbing,Hopkins-Taylor,15671.62,2025-07-25,2025
COST-000513,FAC-0006,Plumbing,Kemp-Ramos,32789.07,2025-08-21,2023
COST-000514,FAC-0057,IT Services,Brown-Mason,49380.03,2025-08-05,2025
COST-000515,FAC-0039,IT Services,Lowe-Turner,41278.35,2025-04-22,2023
COST-000516,FAC-0014,Electrical,"King, Blankenship and Hudson",16711.53,2025-11-18,2023
COST-000517,FAC-0047,IT Services,Ward-Taylor,35987.01,2024-12-28,2025
COST-000518,FAC-0027,Plumbing,"Hanson, Stephenson and Knox",24641.72,2025-06-19,2023
COST-000519,FAC-0034,HVAC,Ortega-Ford,17551.14,2025-02-18,2024
COST-000520,FAC-0011,IT Services,Gordon Ltd,49958.74,2025-09-28,2025
COST-000521,FAC-0022,HVAC,"Johnston, Young and Maxwell",47016.04,2025-10-29,2023
COST-000522,FAC-0096,HVAC,"Mcmahon, Larson and Smith",41319.9,2025-12-01,2025
COST-000523,FAC-0024,IT Services,"Shea, Sampson and Parker",22707.85,2025-05-04,2023
COST-000524,FAC-0066,IT Services,Calderon Inc,42380.47,2024-12-22,2025
COST-000525,FAC-0050,Plumbing,Mcgee-Rivera,46600.93,2025-07-13,2024
COST-000526,FAC-0020,HVAC,"Rodriguez, Tate and Williams",13875.49,2024-12-28,2023
COST-000527,FAC-0080,IT Services,"Carlson, Miller and Cooper",44205.32,2025-11-16,2024
COST-000528,FAC-0070,IT Services,"Richard, Smith and Ward",25580.77,2025-06-02,2024
COST-000529,FAC-0080,Plumbing,Morales-Holmes,23717.92,2025-07-29,2023
COST-000530,FAC-0085,HVAC,Ryan-Obrien,28951.24,2025-04-09,2025
COST-000531,FAC-0027,Plumbing,"Gay, Haas and Simmons",850.73,2025-03-27,2024
COST-000532,FAC-0014,Plumbing,"Sanchez, Evans and Brown",25079.87,2025-08-30,2024
COST-000533,FAC-0039,HVAC,Bowen-Ramirez,6365.15,2025-11-11,2024
COST-000534,FAC-0035,HVAC,Hayes Group,15449.22,2025-08-29,2024
COST-000535,FAC-0093,IT Services,Hurley and Sons,43947.39,2025-06-21,2024
COST-000536,FAC-0071,HVAC,Fernandez Group,47378.97,2025-04-17,2023
COST-000537,FAC-0012,Plumbing,Keller-Edwards,39552.43,2025-06-12,2024
COST-000538,FAC-0033,Plumbing,Nguyen and Sons,8264.98,2025-05-16,2024
COST-000539,FAC-0074,HVAC,Gamble-Carey,957.88,2025-07-21,2024
COST-000540,FAC-0085,Plumbing,Mason-Hogan,40071.39,2025-07-08,2025
COST-000541,FAC-0012,Electrical,"Huffman, Haynes and Taylor",5143.66,2025-01-06,2025
COST-000542,FAC-0079,IT Services,Henry-Jones,38728.09,2025-05-21,2025
COST-000543,FAC-0071,Electrical,Foster-Gray,26606.7,2025-10-03,2024
COST-000544,FAC-0032,Electrical,Braun-Hansen,42873.01,2025-05-08,2024
COST-000545,FAC-0030,Plumbing,"Patrick, Thomas and Brown",11344.83,2025-09-25,2025
COST-000546,FAC-0076,Plumbing,"Turner, Garcia and Jones",25072.1,2025-06-15,2025
COST-000547,FAC-0023,Electrical,Smith Ltd,26458.93,2025-08-21,2024
COST-000548,FAC-0076,IT Services,Callahan Group,26888.33,2025-06-05,2024
COST-000549,FAC-0052,Plumbing,"Wong, Mendoza and Griffin",43321.95,2025-01-01,2023
COST-000550,FAC-0045,Electrical,"Johnson, Miller and Lewis",40846.28,2025-08-30,2023
COST-000551,FAC-0024,Electrical,Romero-Murray,8133.79,2025-03-25,2024
COST-000552,FAC-0040,HVAC,Perez Ltd,32859.92,2025-10-14,2024
COST-000553,FAC-0011,HVAC,Pacheco and Sons,12432.01,2025-06-25,2023
COST-000554,FAC-0016,IT Services,Burns-Mitchell,2642.79,2025-08-21,2025
COST-000555,FAC-0096,IT Services,Clark-Stewart,309.15,2025-04-01,2023
COST-000556,FAC-0064,HVAC,Erickson-Evans,5113.96,2025-02-24,2025
COST-000557,FAC-0083,IT Services,Tucker-Lee,2738.28,2024-12-21,2023
COST-000558,FAC-0026,HVAC,Sanchez-Knight,3217.85,2025-10-26,2025
COST-000559,FAC-0026,Electrical,"Woods, Sanchez and Wolfe",29774.26,2025-06-26,2025
COST-000560,FAC-0076,Electrical,Joyce-Martinez,4101.08,2025-04-26,2024
COST-000561,FAC-0005,Electrical,Smith-Anderson,10571.84,2025-03-15,2024
COST-000562,FAC-0015,HVAC,"Smith, Singh and Shepherd",5436.2,2025-06-19,2025
COST-000563,FAC-0064,Electrical,Curry-Wells,29525.73,2025-01-11,2024
COST-000564,FAC-0098,IT Services,Carroll-Vega,2374.8,2025-08-12,2025
COST-000565,FAC-0014,IT Services,"Davis, Zamora and Jackson",44216.89,2025-06-29,2023
COST-000566,FAC-0098,Plumbing,Smith and Sons,34218.77,2025-02-02,2025
COST-000567,FAC-0097,Electrical,Davis Inc,36115.75,2025-02-17,2024
COST-000568,FAC-0013,Plumbing,Butler-Winters,42285.51,2025-09-29,2025
COST-000569,FAC-0060,Plumbing,"Hayes, Mcgee and Chung",43380.05,2024-12-27,2023
COST-000570,FAC-0081,Electrical,Contreras Group,3944.36,2025-11-29,2024
COST-000571,FAC-0044,HVAC,Stewart-Henson,16951.09,2025-08-24,2023
COST-000572,FAC-0091,Electrical,"Cox, Finley and Munoz",1229.43,2025-11-16,2023
COST-000573,FAC-0072,IT Services,Harrison Group,26177.05,2025-06-19,2023
COST-000574,FAC-0061,HVAC,Ware-Williams,38991.54,2025-01-04,2025
COST-000575,FAC-0098,Electrical,Pena-Zimmerman,35781.44,2025-09-23,2024
COST-000576,FAC-0015,IT Services,Glover-Howard,5378.6,2025-03-12,2023
COST-000577,FAC-0071,Electrical,Carroll-Graham,38981.94,2025-08-11,2024
COST-000578,FAC-0020,HVAC,Johnson Inc,44698.49,2025-03-12,2025
COST-000579,FAC-0077,IT Services,"Thompson, Butler and Holland",12640.58,2025-07-12,2024
COST-000580,FAC-0100,Electrical,"James, Paul and Ramos",26820.14,2024-12-28,2024
COST-000581,FAC-0044,HVAC,Richardson LLC,2111.89,2025-05-06,2024
COST-000582,FAC-0072,Electrical,"Gordon, Davis and Bond",44993.55,2025-02-27,2023
COST-000583,FAC-0024,Plumbing,Torres-Hawkins,27396.79,2025-06-13,2025
COST-000584,FAC-0093,Plumbing,Sullivan PLC,39240.47,2025-11-19,2024
COST-000585,FAC-0065,Electrical,Gray-Mitchell,835.05,2025-09-12,2025
COST-000586,FAC-0033,Plumbing,Walker-Evans,9788.32,2025-11-28,2023
COST-000587,FAC-0028,IT Services,Haas Inc,48204.04,2025-07-18,2023
COST-000588,FAC-0016,IT Services,"Fuller, Coleman and Brown",29295.5,2025-11-19,2024
COST-000589,FAC-0078,IT Services,Baker-Mcintyre,27619.15,2025-06-02,2024
COST-000590,FAC-0034,IT Services,Ortiz-Dominguez,33352.45,2025-06-13,2023
COST-000591,FAC-0050,IT Services,Oconnor and Sons,34143.79,2025-03-19,2024
COST-000592,FAC-0009,IT Services,Jones-Miller,31025.21,2025-05-07,2023
COST-000593,FAC-0032,Plumbing,Rogers Ltd,34879.37,2025-11-13,2023
COST-000594,FAC-0012,Plumbing,Gonzalez-Wilson,2840.44,2025-09-24,2023
COST-000595,FAC-0053,Plumbing,Cuevas-Deleon,41190.23,2025-03-10,2024
COST-000596,FAC-0010,Electrical,Guzman Inc,24069.1,2025-05-12,2023
COST-000597,FAC-0028,HVAC,"Campbell, Lam and Phillips",18262.54,2025-06-23,2025
COST-000598,FAC-0067,Plumbing,Baxter-Wade,44650.12,2025-08-23,2023
COST-000599,FAC-0037,HVAC,Ortiz-Morris,35170.53,2025-11-04,2025
COST-000600,FAC-0015,HVAC,Poole Ltd,28936.58,2025-04-23,2024
COST-000601,FAC-0070,Plumbing,Diaz LLC,25219.12,2025-10-27,2023
COST-000602,FAC-0004,Electrical,"Wilson, Atkinson and Walton",15141.25,2025-02-25,2023
COST-000603,FAC-0095,IT Services,"Gonzalez, Reyes and Garcia",30074.28,2025-07-27,2023
COST-000604,FAC-0002,Plumbing,"Hayes, Lee and Jimenez",42921.77,2025-10-11,2023
COST-000605,FAC-0019,Electrical,Hicks Inc,18478.22,2025-11-08,2023
COST-000606,FAC-0049,IT Services,"Clark, Vasquez and Cunningham",36012.79,2025-01-29,2025
COST-000607,FAC-0071,IT Services,"Phillips, Glover and Cruz",34944.47,2025-06-03,2024
COST-000608,FAC-0092,HVAC,Harris-Michael,11631.31,2025-09-17,2025
COST-000609,FAC-0043,HVAC,Hurley Group,15561.92,2025-05-25,2023
COST-000610,FAC-0012,Electrical,Garrett Inc,16360.0,2025-08-01,2023
COST-000611,FAC-0098,Plumbing,Jones PLC,45612.99,2025-09-21,2024
COST-000612,FAC-0034,HVAC,"Whitaker, Walls and Allen",24580.14,2025-07-16,2025
COST-000613,FAC-0055,Electrical,"Little, Smith and Brown",16070.86,2025-05-28,2023
COST-000614,FAC-0071,Plumbing,Watkins PLC,16115.49,2025-04-24,2023
COST-000615,FAC-0018,Electrical,Roberson-Gomez,45301.06,2025-08-02,2024
COST-000616,FAC-0043,Electrical,"Skinner, West and Banks",6785.92,2025-05-03,2025
COST-000617,FAC-0048,IT Services,Jones Group,25383.81,2025-07-31,2024
COST-000618,FAC-0047,Plumbing,Robinson-Pratt,7822.75,2025-08-25,2025
COST-000619,FAC-0006,IT Services,"Brown, Ramirez and Martin",8122.73,2025-05-10,2025
COST-000620,FAC-0050,Electrical,"Sullivan, Stevenson and Garcia",7760.06,2025-01-28,2024
COST-000621,FAC-0056,Plumbing,"Erickson, Dunn and Jackson",38607.92,2025-04-17,2024
COST-000622,FAC-0099,IT Services,"Savage, Richardson and Rivera",23481.33,2025-11-09,2023
COST-000623,FAC-0046,Electrical,"Bowman, Banks and Davila",22132.99,2025-01-27,2023
COST-000624,FAC-0059,HVAC,"Wood, Thompson and Meza",3151.19,2025-08-06,2025
COST-000625,FAC-0060,Electrical,"Mendoza, Smith and Butler",18146.52,2025-05-19,2024
COST-000626,FAC-0097,IT Services,Hernandez PLC,26624.78,2025-03-06,2025
COST-000627,FAC-0097,HVAC,"Morse, Ray and Nguyen",24109.61,2025-10-26,2025
COST-000628,FAC-0008,HVAC,"Hall, Rivera and Simmons",4975.36,2025-02-06,2024
COST-000629,FAC-0040,HVAC,Delgado Inc,26550.81,2025-09-26,2023
COST-000630,FAC-0057,Plumbing,Kennedy-Maynard,41084.76,2025-09-04,2024
COST-000631,FAC-0065,Plumbing,"Bullock, Davis and Anderson",35313.32,2025-07-12,2025
COST-000632,FAC-0024,IT Services,Johnson Ltd,2585.55,2025-01-21,2025
COST-000633,FAC-0023,Plumbing,Sims-Murphy,13052.05,2025-10-18,2024
COST-000634,FAC-0088,IT Services,Coleman and Sons,49065.13,2025-05-14,2024
COST-000635,FAC-0024,Plumbing,Golden LLC,49851.88,2025-09-03,2024
COST-000636,FAC-0054,IT Services,"Henderson, Chapman and Hughes",12608.52,2025-04-08,2023
COST-000637,FAC-0058,IT Services,Paul PLC,34191.31,2025-06-07,2023
